,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1162,1119,2403999000,"--- Autres tabacs et succédanés de tabac, fabriqués, du n° 24.03; extraits et
sauces de tabac",20,1,,18,,,,,,"0,8","0,2","0,5"
1163,1120,2501001000,- Sel dénaturé,5,1,,,,,,,,"0,8","0,2","0,5"
1164,1121,2501002000,- Sel destiné à l'alimentation humaine,10,1,,,,,,,,"0,8","0,2","0,5"
1165,1122,2501003000,- Sel en blocs comprimé pour l'alimentation du bétail,5,1,,,,,,,,"0,8","0,2","0,5"
1166,1123,2501009000,"- Autre sel du n°25.01 et chlorure de sodium pur, même en solution
aqueuse ou ... ou d'agents assurant une bonne fluidité; eau de mer",10,1,,18,,,,,,"0,8","0,2","0,5"
1167,1124,2502000000,Pyrites de fer non grillées.,5,1,,18,,,,,,"0,8","0,2","0,5"
1168,1125,2503000000,"Soufres de toute espèce, à l'exclusion du soufre sublimé, du soufre
précipité et du soufre colloïdal.",5,1,,18,,,,,,"0,8","0,2","0,5"
1169,1126,2504100000,"- Graphite naturel, en poudre ou en paillettes",5,1,,18,,,,,,"0,8","0,2","0,5"
1170,1127,2504900000,"- Graphite naturel, autre qu'en poudre ou en paillettes",5,1,,18,,,,,,"0,8","0,2","0,5"
1171,1128,2505100000,- Sables siliceux et sables quartzeux,5,1,,18,,,,,,"0,8","0,2","0,5"
1172,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1173,1129,2505900000,"- Sables naturels de toute espèce (autres que siliceux et quartzeux), même
colorés, à l'exclusion des sables métallifères du Chapitre 26",5,1,,18,,,,,,"0,8","0,2","0,5"
1174,1130,2506100000,- Quartz (autres que les sables naturels),5,1,,18,,,,,,"0,8","0,2","0,5"
1175,1131,2506200000,"- Quartzites, même dégrossies ou simplement débitées, par sciage ou
autrement, en blocs ou en plaques de forme carrée ou rectangulaire",5,1,,18,,,,,,"0,8","0,2","0,5"
1176,1132,2507000000,"Kaolin et autres argiles kaoliniques, même calcinés.",5,1,,18,,,,,,"0,8","0,2","0,5"
1177,1133,2508100000,- Bentonite,5,1,,18,,,,,,"0,8","0,2","0,5"
1178,1134,2508300000,- Argiles réfractaires,5,1,,,,,,,,"0,8","0,2","0,5"
1179,1135,2508400000,"- Autres argiles (à l'exclusion des argiles expansées du n° 68.06), autres
que bentonite et argiles refractaires, même calcinées",5,1,,,,,,,,"0,8","0,2","0,5"
1180,1136,2508500000,"- Andalousite, cyanite et sillimanite, même calcinées",5,1,,18,,,,,,"0,8","0,2","0,5"
1181,1137,2508600000,- Mullite,5,1,,18,,,,,,"0,8","0,2","0,5"
1182,1138,2508700000,- Terres de chamotte ou de dinas,5,1,,18,,,,,,"0,8","0,2","0,5"
1183,1139,2509000000,Craie.,5,1,,18,,,,,,"0,8","0,2","0,5"
1184,1140,2510100000,"- Phosphates de calcium naturels, phosphates alumino-calciques naturels
et craies phosphatées, non moulus",5,1,,18,,,,,,"0,8","0,2","0,5"
1185,1141,2510200000,"- Phosphates de calcium naturels, phosphates alumino-calciques naturels
et craies phosphatées, moulus",5,1,,18,,,,,,"0,8","0,2","0,5"
1186,1142,2511100000,- Sulfate de baryum naturel (barytine),5,1,,18,,,,,,"0,8","0,2","0,5"
1187,1143,2511200000,"- Carbonate de baryum naturel (withérite), même calciné, à l'exclusion de
l'oxyde de baryum du n° 28.16",5,1,,18,,,,,,"0,8","0,2","0,5"
1188,1144,2512000000,"Farines siliceuses fossiles (kieselguhr,..) et autres terres siliceuses
analogues, d'une densité apparente n'excédant pas 1, même calcinées.",5,1,,18,,,,,,"0,8","0,2","0,5"
1189,1145,2513100000,- Pierre ponce,5,1,,18,,,,,,"0,8","0,2","0,5"
1190,1146,2513200000,"- Emeri, corindon naturel, grenat naturel et autres abrasifs naturels, même
traités thermiquement",5,1,,18,,,,,,"0,8","0,2","0,5"
1191,1147,2514000000,"Ardoise, même dégrossie ou simplement débitée, par sciage ou autrement,
en blocs ou en plaques de forme carrée ou rectangulaire.",5,1,,18,,,,,,"0,8","0,2","0,5"
1192,1148,2515110000,"-- Marbres et travertins, bruts ou dégrossis",5,1,,18,,,,,,"0,8","0,2","0,5"
1193,1149,2515120000,"-- Marbres et travertins, simplement débités, par sciage ou autrement, en
blocs ou en plaques de forme carrée ou rectangulaire",5,1,,18,,,,,,"0,8","0,2","0,5"
1194,1150,2515200000,"- Ecaussines et autres pierres calcaires de taille ou de construction d'une
densité apparente égale ou supérieure à 2,5; albâtre",5,1,,18,,,,,,"0,8","0,2","0,5"
1195,1151,2516110000,-- Granit brut ou dégrossi,5,1,,18,,,,,,"0,8","0,2","0,5"
1196,1152,2516120000,"-- Granit simplement débité, par sciage ou autrement, en blocs ou en
plaques de forme carrée ou rectangulaire",5,1,,18,,,,,,"0,8","0,2","0,5"
1197,1153,2516200000,"- Grès même dégrossi ou simplement débité, par sciage ou autrement, en
blocs ou en plaques de forme carrée ou rectangulaire",5,1,,18,,,,,,"0,8","0,2","0,5"
1198,1154,2516900000,"- Autres pierres de taille ou de construction, du n° 25.16",5,1,,18,,,,,,"0,8","0,2","0,5"
1199,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1200,1155,2517100000,"- Cailloux, graviers, pierres concassées, ... pour le bétonnage ou
l'empierrement des routes, des voies ferrées ou…, traités thermiquement",5,1,,18,,,,,,"0,8","0,2","0,5"
1201,1156,2517200000,"- Macadam de laitier, de scories ou de déchets industriels similaires, même
comprenant des matières citées dans le n° 2517.10",5,1,,18,,,,,,"0,8","0,2","0,5"
1202,1157,2517300000,- Tarmacadam,5,1,,18,,,,,,"0,8","0,2","0,5"
1203,1158,2517410000,"-- Granules, éclats et poudres de marbre, même traités thermiquement",5,1,,18,,,,,,"0,8","0,2","0,5"
1204,1159,2517490000,"-- Granules, éclats et poudres de pierres des n°s 25.15 (autres que de
marbre) ou 25.16, même traités thermiquement",5,1,,18,,,,,,"0,8","0,2","0,5"
1205,1160,2518100000,"- Dolomie non calcinée ni frittée, dite «crue»,y cpris la dégrossie ou
simplement débitée en blocs ou plaq. de forme carrée ou rectangulaire",5,1,,,,,,,,"0,8","0,2","0,5"
1206,1161,2518200000,"- Dolomie calcinée ou frittée, y compris la dégrossie ou simplement débitée
en blocs ou en plaques de forme carrée ou rectangulaire",5,1,,18,,,,,,"0,8","0,2","0,5"
1207,1162,2518300000,- Pisé de dolomie,5,1,,18,,,,,,"0,8","0,2","0,5"
1208,1163,2519100000,- Carbonate de magnésium naturel (magnésite),5,1,,18,,,,,,"0,8","0,2","0,5"
1209,1164,2519900000,"- Magnésie électrofondue ou calcinée à mort (frittée), ...faibles quantités
d'aut. oxydes ajoutés avant le frittage; aut. oxyde de magnésium",5,1,,18,,,,,,"0,8","0,2","0,5"
1210,1165,2520100000,- Gypse; anhydrite,5,1,,,,,,,,"0,8","0,2","0,5"
1211,1166,2520200000,"- Plâtres, même colorés ou additionnés de faibles quantités d'accélérateurs
ou de retardateurs",10,1,,18,,,,,,"0,8","0,2","0,5"
1212,1167,2521000000,Castines; pierres à chaux ou à ciment.,5,1,,18,,,,,,"0,8","0,2","0,5"
1213,1168,2522100000,"- Chaux vive, à l'exclusion de l'oxyde et de l'hydroxyde de calcium du n°
28.25",10,1,,18,,,,,,"0,8","0,2","0,5"
1214,1169,2522200000,"- Chaux éteinte, à l'exclusion de l'oxyde et de l'hydroxyde de calcium du n°
28.25",20,1,,18,,,,,,"0,8","0,2","0,5"
1215,1170,2522300000,"- Chaux hydraulique, à l'exclusion de l'oxyde et de l'hydroxyde de calcium
du n° 28.25",20,1,,18,,,,,,"0,8","0,2","0,5"
1216,1171,2523100000,- Ciments non pulvérisés dits «clinkers»,10,1,,18,,,,,,"0,8","0,2","0,5"
1217,1172,2523210000,"-- Ciments blancs, même colorés artificiellement",20,1,,18,,,,,,"0,8","0,2","0,5"
1218,1173,2523290000,-- Ciments Portland autres que ciments blancs,20,1,,18,,,,,,"0,8","0,2","0,5"
1219,1174,2523300000,- Ciments alumineux,20,1,,18,,,,,,"0,8","0,2","0,5"
1220,1175,2523900000,"- Autres ciments hydrauliques même colorés, du n° 25.23",20,1,,18,,,,,,"0,8","0,2","0,5"
1221,1176,2524100000,- Crocidolite,10,1,,18,,,,,,"0,8","0,2","0,5"
1222,1177,2524900000,"- Amiante (asbeste), à l'exclusion de la crocidolite",5,1,,18,,,,,,"0,8","0,2","0,5"
1223,1178,2525100000,- Mica brut ou clivé en feuilles ou lamelles irrégulières («splittings»),5,1,,18,,,,,,"0,8","0,2","0,5"
1224,1179,2525200000,- Mica en poudre,5,1,,18,,,,,,"0,8","0,2","0,5"
1225,1180,2525300000,- Déchets de mica,5,1,,18,,,,,,"0,8","0,2","0,5"
1226,1181,2526100000,"- Stéatite naturelle, même dégrossie ou débitée, en blocs ou plaques de
forme carrée ou rectangulaire et  talc, non broyés ni pulvérisés",5,1,,18,,,,,,"0,8","0,2","0,5"
1227,1182,2526200000,"- Stéatite naturelle, même dégrossie ou débitée, en blocs ou plaques de
forme carrée ou rectangulaire et talc, broyés ou pulvérisés",5,1,,18,,,,,,"0,8","0,2","0,5"
1228,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1229,1183,2528000000,"Borates naturels et leurs concentrés(...), sauf ceux extraits des saumures
naturelles; acide boriq. naturel titrant au plus 85 % de H3BO3 …",5,1,,,,,,,,"0,8","0,2","0,5"
1230,1184,2529100000,- Feldspath,5,1,,18,,,,,,"0,8","0,2","0,5"
1231,1185,2529210000,-- Spath fluor contenant en poids 97 % ou moins de fluorure de calcium,5,1,,18,,,,,,"0,8","0,2","0,5"
1232,1186,2529220000,-- Spath fluor contenant en poids plus de 97 % de fluorure de calcium,5,1,,18,,,,,,"0,8","0,2","0,5"
1233,1187,2529300000,- Leucite; néphéline et néphéline syénite,5,1,,18,,,,,,"0,8","0,2","0,5"
1234,1188,2530100000,"- Vermiculite, perlite et chlorites, non expansées",5,1,,18,,,,,,"0,8","0,2","0,5"
1235,1189,2530200000,"- Kiésérite, epsomite (sulfates de magnésium naturels)",5,1,,,,,,,,"0,8","0,2","0,5"
1236,1190,2530900000,- Autres matières minérales non dénommées ni comprises ailleurs,5,1,,18,,,,,,"0,8","0,2","0,5"
1237,1191,2601111000,"--- Minerais de fer et leurs concentrés, non agglomérés, en morceaux,
autres que les pyrites de fer grillées (cendres de pyrites)",5,1,,18,,,,,,"0,8","0,2","0,5"
1238,1192,2601112000,"--- Minerais de fer fin et leurs concentrés, non agglomérés, autres que les
pyrites de fer grillées (cendres de pyrites)",5,1,,18,,,,,,"0,8","0,2","0,5"
1239,1193,2601113000,"--- Minerais de fer et leurs concentrés, non agglomérés, enrichis, autres que
les pyrites de fer grillées (cendres de pyrites)",5,1,,18,,,,,,"0,8","0,2","0,5"
1240,1194,2601119000,"--- Autres minerais de fer et leurs concentrés, non agglomérés, autres que
les pyrites de fer grillées (cendres de pyrites), du n° 26.01",5,1,,18,,,,,,"0,8","0,2","0,5"
1241,1195,2601120000,"-- Minerais de fer et leurs concentrés, agglomérés, autres que les pyrites de
fer grillées (cendres de pyrites)",5,1,,18,,,,,,"0,8","0,2","0,5"
1242,1196,2601200000,- Pyrites de fer grillées (cendres de pyrites),5,1,,18,,,,,,"0,8","0,2","0,5"
1243,1197,2602000000,"Minerais de manganèse et leurs concentrés, y compris les ferrugineux et
leurs concentrés, teneur en manganèse de 20% ou plus en poids...sec",5,1,,18,,,,,,"0,8","0,2","0,5"
1244,1198,2603000000,Minerais de cuivre et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1245,1199,2604000000,Minerais de nickel et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1246,1200,2605000000,Minerais de cobalt et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1247,1201,2606000000,Minerais d'aluminium et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1248,1202,2607000000,Minerais de plomb et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1249,1203,2608000000,Minerais de zinc et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1250,1204,2609000000,Minerais d'étain et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1251,1205,2610000000,Minerais de chrome et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1252,1206,2611000000,Minerais de tungstène et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1253,1207,2612100000,- Minerais d'uranium et leurs concentrés,5,1,,18,7,,,,,"0,8","0,2","0,5"
1254,1208,2612200000,- Minerais de thorium et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1255,1209,2613100000,"- Minerais de molybdène et leurs concentrés, grillés",5,1,,18,,,,,,"0,8","0,2","0,5"
1256,1210,2613900000,"- Minerais de molybdène et leurs concentrés, autres que grillés",5,1,,18,,,,,,"0,8","0,2","0,5"
1257,1211,2614000000,Minerais de titane et leurs concentrés.,5,1,,18,,,,,,"0,8","0,2","0,5"
1258,1212,2615100000,- Minerais de zirconium et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1259,1213,2615900000,"- Minerais de niobium, de tantale ou de vanadium, et leurs concentrés",5,1,,18,,,,,,"0,8","0,2","0,5"
1260,1214,2616100000,- Minerais d'argent et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1261,1215,2616901000,-- Minerais d'or et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1262,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1263,1216,2616909000,-- Minerais de métaux précieux (autres qu'argent ou or) et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1264,1217,2617100000,- Minerais d'antimoine et leurs concentrés,5,1,,18,,,,,,"0,8","0,2","0,5"
1265,1218,2617900000,"- Autres minerais et leurs concentrés, du n° 26.17",5,1,,18,,,,,,"0,8","0,2","0,5"
1266,1219,2618000000,"Laitier granulé (sable-laitier) provenant de la fabrication de la fonte, du fer
ou de l'acier.",5,1,,0,,,,,,"0,8","0,2","0,5"
1267,1220,2619000000,"Scories, laitiers (autres que le laitier granulé), battitures et autres déchets
de la fabrication de la fonte, du fer ou de l'acier.",5,1,,,,,,,,"0,8","0,2","0,5"
1268,1221,2620110000,"-- Mattes de galvanisation contenant principalement du zinc (autres que
ceux provenant de la fabrication de la fonte, du fer ou de l'acier)",5,1,,18,,,,,,"0,8","0,2","0,5"
1269,1222,2620190000,"-- Scories, cendres et résidus (autres que ceux ... l'acier) contenant
principalement du zinc, à l'exclusion des mattes de galvanisation",5,1,,18,,,,,,"0,8","0,2","0,5"
1270,1223,2620210000,"-- Boues d'essence au plomb et boues de composés antidétonants
contenant du plomb (autres que ceux... de la fonte, du fer ou de l'acier)",5,1,,18,,,,,,"0,8","0,2","0,5"
1271,1224,2620290000,"-- Scories, cendres et résidus (autres que ceux ... l'acier) contenant
principalement du plomb, à l'exclusion de ceux du n° 2620.21",5,1,,18,,,,,,"0,8","0,2","0,5"
1272,1225,2620300000,"- Scories, cendres et résidus (autres que ceux... de la fabrication de la
fonte, du fer ou de l'acier) contenant principalement du cuivre",5,1,,18,,,,,,"0,8","0,2","0,5"
1273,1226,2620400000,"- Scories, cendres et résidus (aut. que ceux... de la fabrication de la fonte,
du fer ou de l'acier) contenant principalement de l'aluminium",5,1,,18,,,,,,"0,8","0,2","0,5"
1274,1227,2620600000,"- Scories, cendres et résidus (autres que ceux...l'acier), contenant de
l'arsenic, du mercure, du thallium ou leurs mélanges, ...chimiques",5,1,,18,,,,,,"0,8","0,2","0,5"
1275,1228,2620910000,"-- Scories, cendres et résidus (autres que ceux ... l'acier) contenant de
l'antimoine, du béryllium, du cadmium, du chrome ou leurs mélanges",5,1,,18,,,,,,"0,8","0,2","0,5"
1276,1229,2620990000,"-- Autres scories, cendres et résidus (autres que ceux... l'acier), contenant
des métaux, de l'arsenic ou leurs composés, du n° 26.20",5,1,,18,,,,,,"0,8","0,2","0,5"
1277,1230,2621100000,- Cendres et résidus provenant de l'incinération des déchets municipaux,5,1,,18,,,,,,"0,8","0,2","0,5"
1278,1231,2621900000,"- Autres scories et cendres, y compris les cendres de varech",5,1,,18,,,,,,"0,8","0,2","0,5"
1279,1232,2701110000,"-- Anthracite, même pulvérisé, mais non aggloméré",5,1,,18,,,,,,"0,8","0,2","0,5"
1280,1233,2701120000,"-- Houille bitumineuse, même pulvérisée, mais non agglomérée",5,1,,18,,,,,,"0,8","0,2","0,5"
1281,1234,2701190000,"-- Autres houilles, même pulvérisées, mais non agglomérées, du n° 27.01",5,1,,18,,,,,,"0,8","0,2","0,5"
1282,1235,2701200000,"- Briquettes, boulets et combustibles solides similaires obtenus à partir de la
houille",5,1,,18,,,,,,"0,8","0,2","0,5"
1283,1236,2702100000,"- Lignites, même pulvérisés, mais non agglomérés, à l'exclusion du jais",5,1,,18,,,,,,"0,8","0,2","0,5"
1284,1237,2702200000,"- Lignites agglomérés, à l'exclusion du jais",5,1,,18,,,,,,"0,8","0,2","0,5"
1285,1238,2703000000,"Tourbe (y compris la tourbe pour litière), même agglomérée.",5,1,,18,,,,,,"0,8","0,2","0,5"
1286,1239,2704000000,"Cokes et semi-cokes de houille, de lignite ou de tourbe, même agglomérés;
charbon de cornue.",5,1,,18,,,,,,"0,8","0,2","0,5"
1287,1240,2705000000,"Gaz de houille, gaz à l'eau, gaz pauvre et gaz similaires, à l'exclusion des
gaz de pétrole et autres hydrocarbures gazeux.",5,1,,18,,,,,,"0,8","0,2","0,5"
1288,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1289,1241,2706000000,"Goudrons de houille, de lignite ou de tourbe et autres goudrons minéraux,
même déshydratés ou étêtés, y compris les goudrons reconstitués.",5,1,,18,,,,,,"0,8","0,2","0,5"
1290,1242,2707100000,- Benzol (benzène),5,1,,18,,,,,,"0,8","0,2","0,5"
1291,1243,2707200000,- Toluol (toluène),5,1,,18,,,,,,"0,8","0,2","0,5"
1292,1244,2707300000,- Xylol (xylènes),5,1,,18,,,,,,"0,8","0,2","0,5"
1293,1245,2707400000,- Naphtalène,5,1,,18,,,,,,"0,8","0,2","0,5"
1294,1246,2707500000,"- Autres mélanges d'hydrocarbures aromatiq. distillant 65% ou plus de leur
volume (y cpris les pertes) à 250 °C d'après la méthode ASTM D 86",5,1,,18,,,,,,"0,8","0,2","0,5"
1295,1247,2707910000,-- Huiles de créosote,5,1,,18,,,,,,"0,8","0,2","0,5"
1296,1248,2707990000,"-- Autres huiles et autres produits, du n° 27.07",5,1,,18,,,,,,"0,8","0,2","0,5"
1297,1249,2708100000,- Brai de goudron de houille ou d'autres goudrons minéraux,5,1,,18,,,,,,"0,8","0,2","0,5"
1298,1250,2708200000,- Coke de brai de goudron de houille ou d'autres goudrons minéraux,5,1,,18,,,,,,"0,8","0,2","0,5"
1299,1251,2709000000,Huiles brutes de pétrole ou de minéraux bitumineux.,0,1,25,9,,,,,,"0,8","0,2","0,5"
1300,1252,2710121000,"--- Pétroles partiellement raffinés y compris les huiles brutes ayant subi une
distillation primaire (Topping)",0,1,,18,,,,,,"0,8","0,2","0,5"
1301,1253,2710122100,---- White spirit,5,1,21.83,18,,,,,73,"0,8","0,2","0,5"
1302,1254,2710122900,---- Autres essences spéciales,10,1,21.83,18,,,,,73,"0,8","0,2","0,5"
1303,1255,2710123000,--- Essence d'aviation,10,1,,9,,,,,,"0,8","0,2","0,5"
1304,1256,2710124000,--- Super carburant,10,1,21.83,9,,,,,73,"0,8","0,2","0,5"
1305,1257,2710125000,--- Essence d'auto ordinaire,10,1,55,9,,,,,20,"0,8","0,2","0,5"
1306,1258,2710129000,--- Autres huiles légères et préparations du n° 2710.12,10,1,25,18,,,,,,"0,8","0,2","0,5"
1307,1259,2710191100,---- Carburéacteur,10,1,,9,,,,,,"0,8","0,2","0,5"
1308,1260,2710191200,---- Pétrole lampant,5,1,0,9,,,,,0,"0,8","0,2","0,5"
1309,1261,2710191900,"---- Autres huiles moyennes, du n° 2710.19",10,1,25,18,,,,,,"0,8","0,2","0,5"
1310,1262,2710192100,---- Gas-oil,10,1,114.66,9,,,,,25,"0,8","0,2","0,5"
1311,1263,2710192200,---- Fuel-oil domestique,5,1,10,9,,,,,0,"0,8","0,2","0,5"
1312,1264,2710192300,---- Fuel-oil léger,5,1,10,9,,,,,0,"0,8","0,2","0,5"
1313,1265,2710192400,---- Fuel-oil lourd I,5,1,10,9,,,,,0,"0,8","0,2","0,5"
1314,1266,2710192500,---- Fuel-oil lourd II,5,1,10,9,,,,,0,"0,8","0,2","0,5"
1315,1267,2710193100,---- Huiles lubrifiantes destinées à être mélangées,10,1,20,18,,,,,,"0,8","0,2","0,5"
1316,1268,2710193200,---- Huiles lubrifiantes pour freins hydrauliques,10,1,20,18,,,,,,"0,8","0,2","0,5"
1317,1269,2710193300,---- Graisse d'huiles lubrifiantes,10,1,20,9,,,,,,"0,8","0,2","0,5"
1318,1270,2710193910,-      Huiles de moteur à 2 temps,10,1,20,18,,,,,,"0,8","0,2","0,5"
1319,1271,2710193990,"-      Autres huiles lubrifiantes, du n° 2710.19",10,1,20,18,,,,,,"0,8","0,2","0,5"
1320,1272,2710200000,"- Huiles de pétrole ou de minéraux bitumineux(sauf huiles brutes) et
préparations NDCA, contenant 70 % ou plus d?'huiles de pétrole...huiles",10,1,25,18,,,,,,"0,8","0,2","0,5"
1321,1273,2710910000,"-- Déchets d'huiles contenant des diphényles poly chlorés (PCB), des
terphényles polychlorés (PCT) ou des diphényles polybromés (PBB)",10,1,,18,,,,,,"0,8","0,2","0,5"
1322,1274,2710990000,"-- Autres déchets d'huiles, du n° 27.10",10,1,,18,,,,,,"0,8","0,2","0,5"
1323,1275,2711110000,-- Gaz naturel liquéfiés,5,1,,18,,,,,,"0,8","0,2","0,5"
1324,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1325,1276,2711120000,-- Propane liquéfié,5,1,,18,,,,,,"0,8","0,2","0,5"
1326,1277,2711130000,-- Butanes liquéfiés,0,1,,,,,,,,"0,8","0,2","0,5"
1327,1278,2711140000,"-- Ethylène, propylène, butylène et butadiène, liquéfiés",5,1,,18,,,,,,"0,8","0,2","0,5"
1328,1279,2711190000,"-- Autres gaz de pétrole et autres hydrocarbures gazeux, liquéfiés, du n°
27.11",5,1,,18,,,,,,"0,8","0,2","0,5"
1329,1280,2711210000,-- Gaz naturel à l'état gazeux,5,1,,18,,,,,,"0,8","0,2","0,5"
1330,1281,2711290000,"-- Autres gaz de pétrole et autres hydrocarbures gazeux, à l'état gazeux, du
n° 27.11",5,1,,18,,,,,,"0,8","0,2","0,5"
1331,1282,2712100000,- Vaseline,5,1,,18,,,,,,"0,8","0,2","0,5"
1332,1283,2712200000,"- Paraffine contenant en poids moins de 0,75 % d'huile",5,1,,18,,,,,,"0,8","0,2","0,5"
1333,1284,2712900000,"- Autres produits obtenus par synthèse ou par d'autres procédés, même
colorés, du n° 27.12",5,1,,18,,,,,,"0,8","0,2","0,5"
1334,1285,2713110000,-- Coke de pétrole non calciné,5,1,,18,,,,,,"0,8","0,2","0,5"
1335,1286,2713120000,-- Coke de pétrole calciné,5,1,,18,,,,,,"0,8","0,2","0,5"
1336,1287,2713200000,- Bitume de pétrole,5,1,,18,,,,,,"0,8","0,2","0,5"
1337,1288,2713900000,"- Autres résidus des huiles de pétrole ou de minéraux bitumineux du
n°27.13",5,1,25,9,,,,,,"0,8","0,2","0,5"
1338,1289,2714100000,- Schistes et sables bitumineux,5,1,,18,,,,,,"0,8","0,2","0,5"
1339,1290,2714900000,"- Bitumes et asphaltes, naturels; asphaltites et roches asphaltiques",5,1,,18,,,,,,"0,8","0,2","0,5"
1340,1291,2715000000,"Mélanges bitumineux à base d'asphalte ou de bitume naturels, de bitume
de pétrole, de goudron minéral ou de brai de goudron minéral (...)",5,1,,18,,,,,,"0,8","0,2","0,5"
1341,1292,2716000000,Energie électrique. (position facultative),5,1,,18,,,,,,"0,8","0,2","0,5"
1342,1293,2801100000,- Chlore,5,1,,18,,,,,,"0,8","0,2","0,5"
1343,1294,2801200000,- Iode,5,1,,18,,,,,,"0,8","0,2","0,5"
1344,1295,2801300000,- Fluor; brome,5,1,,18,,,,,,"0,8","0,2","0,5"
1345,1296,2802000000,Soufre sublimé ou précipité; soufre colloïdal.,5,1,,18,,,,,,"0,8","0,2","0,5"
1346,1297,2803000000,"Carbone (noirs de carbone et autres formes de carbone non dénommées ni
comprises ailleurs).",5,1,,18,,,,,,"0,8","0,2","0,5"
1347,1298,2804100000,- Hydrogène,5,1,,18,,,,,,"0,8","0,2","0,5"
1348,1299,2804210000,-- Argon,5,1,,18,,,,,,"0,8","0,2","0,5"
1349,1300,2804290000,-- Autres gaz rares à l'exclusion d'argon,5,1,,18,,,,,,"0,8","0,2","0,5"
1350,1301,2804300000,- Azote,5,1,,18,,,,,,"0,8","0,2","0,5"
1351,1302,2804400000,- Oxygène,5,1,,18,,,,,,"0,8","0,2","0,5"
1352,1303,2804500000,- Bore; tellure,5,1,,18,,,,,,"0,8","0,2","0,5"
1353,1304,2804610000,"-- Silicium contenant en poids au moins 99,99 % de silicium",5,1,,18,,,,,,"0,8","0,2","0,5"
1354,1305,2804690000,"-- Silicium autre que celui contenant en poids au moins 99,99 % de silicium",5,1,,18,,,,,,"0,8","0,2","0,5"
1355,1306,2804700000,- Phosphore,5,1,,18,,,,,,"0,8","0,2","0,5"
1356,1307,2804800000,- Arsenic,5,1,,18,,,,,,"0,8","0,2","0,5"
1357,1308,2804900000,- Sélénium,5,1,,18,,,,,,"0,8","0,2","0,5"
1358,1309,2805110000,-- Sodium,5,1,,18,,,,,,"0,8","0,2","0,5"
1359,N°,CODE_SH,LIBELLE REVISE,DD,RST,TUB,TVA,DUS,TSB,PSV,TAI,TUF,PCS,PUA,PCC
1360,1310,2805120000,-- Calcium,5,1,,18,,,,,,"0,8","0,2","0,5"
1361,1311,2805190000,-- Métaux alcalins ou alcalino-terreux  autres que sodium ou calcium,5,1,,18,,,,,,"0,8","0,2","0,5"
1362,1312,2805300000,"- Métaux de terres rares, scandium et yttrium, même mélangés ou alliés
entre eux",5,1,,18,,,,,,"0,8","0,2","0,5"
1363,1313,2805400000,- Mercure,5,1,,18,,,,,,"0,8","0,2","0,5"
1364,1314,2806100000,- Chlorure d'hydrogène (acide chlorhydrique),5,1,,18,,,,,,"0,8","0,2","0,5"
1365,1315,2806200000,- Acide chlorosulfurique,5,1,,18,,,,,,"0,8","0,2","0,5"
1366,1316,2807000000,Acide sulfurique; oléum.,5,1,,18,,,,,,"0,8","0,2","0,5"
1367,1317,2808000000,Acide nitrique; acides sulfonitriques.,5,1,,18,,,,,,"0,8","0,2","0,5"
1368,1318,2809100000,- Pentaoxyde de diphosphore,5,1,,,,,,,,"0,8","0,2","0,5"
1369,1319,2809200000,"- Acide phosphorique et acides polyphosphoriques, de constitution chimique
définie ou non",5,1,,,,,,,,"0,8","0,2","0,5"
1370,1320,2810000000,Oxydes de bore; acides boriques.,5,1,,18,,,,,,"0,8","0,2","0,5"
1371,1321,2811110000,-- Fluorure d'hydrogène (acide fluorhydrique),5,1,,18,,,,,,"0,8","0,2","0,5"
